data, elo
1228401921 ,12964.6 
1149032340 ,12901.8 
968438914 ,12893.6 
809581368 ,12842.1 
716845198 ,12789.2 
633407024 ,12772.5 
525879064 ,12691.6 
468617949 ,12663.7 
425711436 ,12606.8 
384128195 ,12572.3 
350969033 ,12517.6 
317666228 ,12492.1 
285739972 ,12440.4 
258899231 ,12413.7 
242608416 ,12376.6 
222255714 ,12321.5 
205081840 ,12277.8 
188225933 ,12132.2 
199742204 ,12216.0 
186260264 ,12163.9 
175198172 ,12140.8 
161530882 ,12048.3 
150094945 ,11960.1 
466197061 ,12281.6 
402723070 ,12262.6 
335919935 ,12218.1 
272346422 ,12213.3 
202388589 ,12115.9 
149638345 ,11850.6 
140458288 ,11850.0 
130735234 ,11802.0 
121512160 ,11778.8 
115173910 ,11740.6 
107289066 ,11660.8 
99188084 ,11612.4 
93253574 ,11541.2 
88080224 ,11501.5 
83241376 ,11422.4 
78194950 ,11375.9 
75404031 ,11320.7 
72259836 ,11265.3 
68801237 ,11163.4 
204142634 ,11586.0 
169515535 ,11549.7 
138602199 ,11417.5 
110698189 ,11337.0 
90717864 ,11239.0 
77667876 ,11134.5 
67404019 ,11009.5 
65328726 ,11016.7 
63545831 ,11002.2 
61555286 ,10951.6 
58749683 ,10949.9 
54258564 ,10880.7 
51287678 ,10830.4 
48413176 ,10803.9 
44395882 ,10736.2 
40371384 ,10665.1 
37596868 ,10624.3 
34594597 ,10532.4 
32291607 ,10466.7 
31122236 ,10445.2 
28642604 ,10294.4 
27396855 ,10200.0 
26788732 ,10015.0 
25130434 ,9964.0 
23152636 ,9901.6 
21243181 ,9852.3 
19523626 ,9805.4 
18283013 ,9751.7 
17228996 ,9705.1 
16129874 ,9628.0 
15368530 ,9578.6 
14091095 ,9474.9 
13124432 ,9422.0 
12203675 ,9317.5 
11478487 ,9209.7 
10630987 ,9090.4 
10051148 ,9007.0 
9428755 ,8890.1 
9138325 ,8801.7 
8589539 ,8671.4 
8173106 ,8532.8 
7995124 ,8496.2 
7635581 ,8361.1 
7380655 ,8267.9 
7092247 ,8182.5 
6822967 ,8042.0 
6589032 ,7900.0 
6326857 ,7751.1 
6061202 ,7601.4 
5828519 ,7386.3 
5536083 ,7170.8 
5299514 ,6915.2 
5016295 ,6628.1 
4917369 ,6529.2 
4781382 ,6388.1 
4635675 ,6226.9 
4533650 ,6046.3 
4388379 ,5811.1 
4256697 ,5663.5 
4119819 ,5443.3 
4002500 ,5194.3 
3879081 ,4953.4 
3742377 ,4794.3 
3612586 ,4615.2 
3529696 ,4456.2 
3388395 ,4278.2 
3280178 ,4180.0 
3197121 ,3958.6 
3038653 ,3702.2 
2925067 ,3486.1 
2832803 ,3328.6 
2727367 ,3112.0 
2631546 ,2859.9 
2510774 ,2547.7 
2416753 ,2398.8 
2300510 ,2285.4 
2201128 ,2120.5 
2082583 ,1938.2 
1961030 ,1851.1 
1754797 ,1702.0 
1690538 ,1593.7 
1510003 ,1531.7 
1329786 ,1062.2 
1208807 ,794.5 
550347 ,479.0 
0,0.0
